design_id,source,design,plate_type,answer,axis,fg_hex,fg_dots,bg_hex,bg_dots,pair_weight,fg_x,fg_y,bg_x,bg_y,dev_xy,dev_mb_ss1,dev_uv,delta
Z01,ZEISS,ishihara_1,demonstration,12,protan,#f15f12,101,#5c8687,484,48884,0.569757,0.379053,0.268553,0.326924,27.7299,5.0472,20.6853,1.735112
Z01,ZEISS,ishihara_1,demonstration,12,deutan,#f15f12,101,#5c8687,484,48884,0.569757,0.379053,0.268553,0.326924,47.8202,7.704,31.8651,2.41203
Z02,ZEISS,ishihara_2,transformation,8,protan,#eb4825,68,#444329,240,16320,0.581506,0.353364,0.366226,0.413009,13.4963,1.4978,6.658,0.594316
Z02,ZEISS,ishihara_2,transformation,8,deutan,#eb4825,68,#444329,240,16320,0.581506,0.353364,0.366226,0.413009,26.3819,2.7448,12.295,1.244099
Z02,ZEISS,ishihara_2,transformation,8,protan,#eb4825,68,#aaa35f,193,13124,0.581506,0.353364,0.380919,0.426839,7.1045,0.8397,3.7409,0.434526
Z02,ZEISS,ishihara_2,transformation,8,deutan,#eb4825,68,#aaa35f,193,13124,0.581506,0.353364,0.380919,0.426839,20.4851,2.3537,10.4064,1.06806
Z02,ZEISS,ishihara_2,transformation,8,protan,#eb4825,68,#928237,174,11832,0.581506,0.353364,0.412793,0.449511,1.3119,0.1378,0.6223,0.076666
Z02,ZEISS,ishihara_2,transformation,8,deutan,#eb4825,68,#928237,174,11832,0.581506,0.353364,0.412793,0.449511,12.1409,1.2517,5.6312,0.670828
Z02,ZEISS,ishihara_2,transformation,8,protan,#f88c4f,33,#444329,240,7920,0.489393,0.388316,0.366226,0.413009,15.8864,1.9585,8.6979,0.318837
Z02,ZEISS,ishihara_2,transformation,8,deutan,#f88c4f,33,#444329,240,7920,0.489393,0.388316,0.366226,0.413009,29.3571,3.462,15.3306,0.623517
Z02,ZEISS,ishihara_2,transformation,8,protan,#f88c4f,33,#aaa35f,193,6369,0.489393,0.388316,0.380919,0.426839,7.1759,0.8771,3.9055,0.159048
Z02,ZEISS,ishihara_2,transformation,8,deutan,#f88c4f,33,#aaa35f,193,6369,0.489393,0.388316,0.380919,0.426839,20.624,2.4787,10.8954,0.447477
Z02,ZEISS,ishihara_2,transformation,8,protan,#f88c4f,33,#928237,174,5742,0.489393,0.388316,0.412793,0.449511,9.593,1.079,4.7845,0.198813
Z02,ZEISS,ishihara_2,transformation,8,deutan,#f88c4f,33,#928237,174,5742,0.489393,0.388316,0.412793,0.449511,2.3362,0.2639,1.1538,0.050246
Z03,ZEISS,ishihara_3,transformation,29,protan,#e17974,41,#ae9c35,187,7667,0.444568,0.335185,0.421262,0.464053,55.5958,8.4255,31.906,1.138759
Z03,ZEISS,ishihara_3,transformation,29,deutan,#e17974,41,#ae9c35,187,7667,0.444568,0.335185,0.421262,0.464053,40.2335,6.5407,23.7632,0.897324
Z03,ZEISS,ishihara_3,transformation,29,protan,#e17974,41,#7c722c,172,7052,0.444568,0.335185,0.409822,0.457431,53.3214,7.5841,29.5474,0.98847
Z03,ZEISS,ishihara_3,transformation,29,deutan,#e17974,41,#7c722c,172,7052,0.444568,0.335185,0.409822,0.457431,35.3608,5.3144,19.8596,0.732311
Z03,ZEISS,ishihara_3,transformation,29,protan,#e17974,41,#928237,131,5371,0.444568,0.335185,0.412793,0.449511,52.8465,7.5744,29.4411,0.925891
Z03,ZEISS,ishihara_3,transformation,29,deutan,#e17974,41,#928237,131,5371,0.444568,0.335185,0.412793,0.449511,35.5355,5.3988,20.1301,0.682991
Z03,ZEISS,ishihara_3,transformation,29,protan,#d05658,29,#ae9c35,187,5423,0.48999,0.327221,0.421262,0.464053,36.5231,4.5355,18.9723,1.088244
Z03,ZEISS,ishihara_3,transformation,29,deutan,#d05658,29,#ae9c35,187,5423,0.48999,0.327221,0.421262,0.464053,22.9822,2.9605,12.0728,0.694531
Z03,ZEISS,ishihara_3,transformation,29,protan,#d05658,29,#7c722c,172,4988,0.48999,0.327221,0.409822,0.457431,35.054,4.2168,17.8095,0.937954
Z03,ZEISS,ishihara_3,transformation,29,deutan,#d05658,29,#7c722c,172,4988,0.48999,0.327221,0.409822,0.457431,18.6895,2.2862,9.4318,0.529518
Z03,ZEISS,ishihara_3,transformation,29,protan,#d05658,29,#928237,131,3799,0.48999,0.327221,0.412793,0.449511,33.6876,4.0822,17.2395,0.875376
Z03,ZEISS,ishihara_3,transformation,29,deutan,#d05658,29,#928237,131,3799,0.48999,0.327221,0.412793,0.449511,17.9598,2.2222,9.1589,0.480199
Z03,ZEISS,ishihara_3,transformation,29,protan,#bc4520,21,#ae9c35,187,3927,0.560912,0.365048,0.421262,0.464053,2.6835,0.291,1.3121,0.154039
Z03,ZEISS,ishihara_3,transformation,29,deutan,#bc4520,21,#ae9c35,187,3927,0.560912,0.365048,0.421262,0.464053,6.5148,0.7105,3.1704,0.338154
Z03,ZEISS,ishihara_3,transformation,29,protan,#bc4520,21,#7c722c,172,3612,0.560912,0.365048,0.409822,0.457431,0.0734,0.0078,0.0354,0.00375
Z03,ZEISS,ishihara_3,transformation,29,deutan,#bc4520,21,#7c722c,172,3612,0.560912,0.365048,0.409822,0.457431,10.2865,1.0902,4.8848,0.503167
Z03,ZEISS,ishihara_3,transformation,29,protan,#bc4520,21,#928237,131,2751,0.560912,0.365048,0.412793,0.449511,1.1619,0.1269,0.5717,0.058828
Z03,ZEISS,ishihara_3,transformation,29,deutan,#bc4520,21,#928237,131,2751,0.560912,0.365048,0.412793,0.449511,11.825,1.282,5.7264,0.552486
Z03,ZEISS,ishihara_3,transformation,29,protan,#fca054,17,#ae9c35,187,3179,0.471129,0.403137,0.421262,0.464053,20.0482,2.3396,10.1871,0.35329
Z03,ZEISS,ishihara_3,transformation,29,deutan,#fca054,17,#ae9c35,187,3179,0.471129,0.403137,0.421262,0.464053,9.4902,1.1363,4.8575,0.174668
Z03,ZEISS,ishihara_3,transformation,29,protan,#fca054,17,#7c722c,172,2924,0.471129,0.403137,0.409822,0.457431,12.0026,1.3664,6.0346,0.203001
Z03,ZEISS,ishihara_3,transformation,29,deutan,#fca054,17,#7c722c,172,2924,0.471129,0.403137,0.409822,0.457431,0.5384,0.062,0.2696,0.009654
Z03,ZEISS,ishihara_3,transformation,29,protan,#fca054,17,#928237,131,2227,0.471129,0.403137,0.412793,0.449511,9.0518,1.0337,4.5793,0.140423
Z03,ZEISS,ishihara_3,transformation,29,deutan,#fca054,17,#928237,131,2227,0.471129,0.403137,0.412793,0.449511,2.4552,0.2831,1.2346,0.039665
Z03,ZEISS,ishihara_3,transformation,29,protan,#7fa96d,14,#ae9c35,187,2618,0.323819,0.428288,0.421262,0.464053,47.3583,7.4873,33.2513,0.749162
Z03,ZEISS,ishihara_3,transformation,29,deutan,#7fa96d,14,#ae9c35,187,2618,0.323819,0.428288,0.421262,0.464053,59.6923,9.1328,40.3194,0.901203
Z03,ZEISS,ishihara_3,transformation,29,protan,#7fa96d,14,#7c722c,172,2408,0.323819,0.428288,0.409822,0.457431,43.8846,7.0033,31.1906,0.598872
Z03,ZEISS,ishihara_3,transformation,29,deutan,#7fa96d,14,#7c722c,172,2408,0.323819,0.428288,0.409822,0.457431,57.5015,8.9045,39.2576,0.73619
Z03,ZEISS,ishihara_3,transformation,29,protan,#7fa96d,14,#928237,131,1834,0.323819,0.428288,0.412793,0.449511,38.8848,5.9115,26.5491,0.536294
Z03,ZEISS,ishihara_3,transformation,29,deutan,#7fa96d,14,#928237,131,1834,0.323819,0.428288,0.412793,0.449511,52.3609,7.7668,34.445,0.68687
Z03,ZEISS,ishihara_3,transformation,29,protan,#006e40,13,#ae9c35,187,2431,0.262626,0.465439,0.421262,0.464053,29.6285,3.8209,17.614,0.680767
Z03,ZEISS,ishihara_3,transformation,29,deutan,#006e40,13,#ae9c35,187,2431,0.262626,0.465439,0.421262,0.464053,39.9286,5.1482,23.3864,0.960124
Z03,ZEISS,ishihara_3,transformation,29,protan,#006e40,13,#7c722c,172,2236,0.262626,0.465439,0.409822,0.457431,24.6769,3.2776,15.0495,0.530478
Z03,ZEISS,ishihara_3,transformation,29,deutan,#006e40,13,#7c722c,172,2236,0.262626,0.465439,0.409822,0.457431,36.3917,4.884,21.9319,0.795111
Z03,ZEISS,ishihara_3,transformation,29,protan,#006e40,13,#928237,131,1703,0.262626,0.465439,0.412793,0.449511,21.8459,2.8655,13.0939,0.4679
Z03,ZEISS,ishihara_3,transformation,29,deutan,#006e40,13,#928237,131,1703,0.262626,0.465439,0.412793,0.449511,33.6045,4.4444,19.8813,0.745792
Z03,ZEISS,ishihara_3,transformation,29,protan,#f67e34,13,#ae9c35,187,2431,0.521468,0.393335,0.421262,0.464053,2.5772,0.2776,1.2527,0.08781
Z03,ZEISS,ishihara_3,transformation,29,deutan,#f67e34,13,#ae9c35,187,2431,0.521468,0.393335,0.421262,0.464053,6.6704,0.7215,3.2238,0.22756
Z03,ZEISS,ishihara_3,transformation,29,protan,#f67e34,13,#7c722c,172,2236,0.521468,0.393335,0.409822,0.457431,1.9805,0.2119,0.9584,0.062479
Z03,ZEISS,ishihara_3,transformation,29,deutan,#f67e34,13,#7c722c,172,2236,0.521468,0.393335,0.409822,0.457431,11.9576,1.2695,5.7018,0.392574
Z03,ZEISS,ishihara_3,transformation,29,protan,#f67e34,13,#928237,131,1703,0.521468,0.393335,0.412793,0.449511,4.1099,0.4475,2.0228,0.125057
Z03,ZEISS,ishihara_3,transformation,29,deutan,#f67e34,13,#928237,131,1703,0.521468,0.393335,0.412793,0.449511,14.3339,1.5469,6.9401,0.441893
Z04,ZEISS,ishihara_4,transformation,5,protan,#928237,30,#f88c4f,288,8640,0.412793,0.449511,0.489393,0.388316,9.593,1.079,4.7845,0.198813
Z04,ZEISS,ishihara_4,transformation,5,deutan,#928237,30,#f88c4f,288,8640,0.412793,0.449511,0.489393,0.388316,2.3362,0.2639,1.1538,0.050246
Z04,ZEISS,ishihara_4,transformation,5,protan,#928237,30,#eb4825,254,7620,0.412793,0.449511,0.581506,0.353364,1.3119,0.1378,0.6223,0.076666
Z04,ZEISS,ishihara_4,transformation,5,deutan,#928237,30,#eb4825,254,7620,0.412793,0.449511,0.581506,0.353364,12.1409,1.2517,5.6312,0.670828
Z04,ZEISS,ishihara_4,transformation,5,protan,#928237,30,#f15f12,105,3150,0.412793,0.449511,0.569757,0.379053,8.6815,0.9169,4.1693,0.47591
Z04,ZEISS,ishihara_4,transformation,5,deutan,#928237,30,#f15f12,105,3150,0.412793,0.449511,0.569757,0.379053,18.0019,1.8713,8.4786,0.953576
Z04,ZEISS,ishihara_4,transformation,5,protan,#aaa35f,26,#f88c4f,288,7488,0.380919,0.426839,0.489393,0.388316,7.1759,0.8771,3.9055,0.159048
Z04,ZEISS,ishihara_4,transformation,5,deutan,#aaa35f,26,#f88c4f,288,7488,0.380919,0.426839,0.489393,0.388316,20.624,2.4787,10.8954,0.447477
Z04,ZEISS,ishihara_4,transformation,5,protan,#aaa35f,26,#eb4825,254,6604,0.380919,0.426839,0.581506,0.353364,7.1045,0.8397,3.7409,0.434526
Z04,ZEISS,ishihara_4,transformation,5,deutan,#aaa35f,26,#eb4825,254,6604,0.380919,0.426839,0.581506,0.353364,20.4851,2.3537,10.4064,1.06806
Z04,ZEISS,ishihara_4,transformation,5,protan,#aaa35f,26,#f15f12,105,2730,0.380919,0.426839,0.569757,0.379053,14.5793,1.7396,7.7999,0.833771
Z04,ZEISS,ishihara_4,transformation,5,deutan,#aaa35f,26,#f15f12,105,2730,0.380919,0.426839,0.569757,0.379053,26.7412,3.1017,13.8247,1.350807
Z04,ZEISS,ishihara_4,transformation,5,protan,#b64c4e,23,#f88c4f,288,6624,0.485197,0.326874,0.489393,0.388316,69.5144,10.1969,38.7926,0.695107
Z04,ZEISS,ishihara_4,transformation,5,deutan,#b64c4e,23,#f88c4f,288,6624,0.485197,0.326874,0.489393,0.388316,53.6216,8.4268,31.0247,0.562584
Z04,ZEISS,ishihara_4,transformation,5,protan,#b64c4e,23,#eb4825,254,5842,0.485197,0.326874,0.581506,0.353364,39.0905,7.7856,29.1976,0.970586
Z04,ZEISS,ishihara_4,transformation,5,deutan,#b64c4e,23,#eb4825,254,5842,0.485197,0.326874,0.581506,0.353364,56.314,9.5355,36.9771,1.183166
Z04,ZEISS,ishihara_4,transformation,5,protan,#b64c4e,23,#f15f12,105,2415,0.485197,0.326874,0.569757,0.379053,58.4698,20.1161,55.3247,1.369831
Z04,ZEISS,ishihara_4,transformation,5,deutan,#b64c4e,23,#f15f12,105,2415,0.485197,0.326874,0.569757,0.379053,73.0575,21.5746,61.8605,1.465914
Z04,ZEISS,ishihara_4,transformation,5,protan,#444329,20,#f88c4f,288,5760,0.366226,0.413009,0.489393,0.388316,15.8864,1.9585,8.6979,0.318837
Z04,ZEISS,ishihara_4,transformation,5,deutan,#444329,20,#f88c4f,288,5760,0.366226,0.413009,0.489393,0.388316,29.3571,3.462,15.3306,0.623517
Z04,ZEISS,ishihara_4,transformation,5,protan,#444329,20,#eb4825,254,5080,0.366226,0.413009,0.581506,0.353364,13.4963,1.4978,6.658,0.594316
